cause_nbr,case_type,surplus_amount,status,source,address,city,state,zip,county,parcel_id,auction_date,sale_price,mortgage_balance,first_name,last_name,email,phone
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Stephen,Bittel,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Boca Gas Co Inc,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Boca Gas Company Holdings 2 Llc,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Boca Gas Company Holdings Llc,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Boca Petroco Inc,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Daibes Gas Holdings Atlanta Llc,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Jaf Investment Group Inc,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Abbas,Jaferi,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Ali,Jaferi,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Ather,Jaferi,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Maxport Realty Llc,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Maxprep Llc,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Kim,Mccravy,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Reb Of Florida Inc,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Harvey,Scholl,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Max,Scholl,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,The Durban Group Llc,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Trico V Petroleum Inc,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Trico Vi Petroleum Inc,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Trico Vii Petroleum Inc,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Usa Grocers Group Inc,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Usag Oil & Gas Inc,,
50-2004-CA-005889-XXXX-MB,CA,1100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Usag Petro Llc,,
50-2004-CA-006138-XXXX-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Amir,Fleischer,,
50-2004-CA-006138-XXXX-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Kane & Kane,,
50-2004-CA-006138-XXXX-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Charles,Kane,,
50-2004-CA-006138-XXXX-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Harley,Kane,,
50-2004-CA-006138-XXXX-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Laura M Watson Pa,,
50-2004-CA-006138-XXXX-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Darin,Lentner,,
50-2004-CA-006138-XXXX-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Marks & Fleischer Pa,,
50-2004-CA-006138-XXXX-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Gary,Marks,,
50-2004-CA-006138-XXXX-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Llc,One Hundred One,,
50-2004-CA-006138-XXXX-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Watson & Lentner,,
50-2004-CA-006138-XXXX-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Laura,Watson,,
50-2019-CA-012649-XXXX-MB,CA,18987.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Nickole,Ingram,,
50-2020-CA-013966-XXXX-MB,CA,2500.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Begin Anew Llc,,
50-2020-CA-013966-XXXX-MB,CA,2500.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Vera,Christensen,,
50-2020-CA-013966-XXXX-MB,CA,2500.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Faith,Garcia,,
50-2020-CA-013966-XXXX-MB,CA,2500.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Maria,Key,,
50-2020-CA-014125-XXXX-MB,CA,2537.55,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,"Spouses, Devisees, Grantees Assignees, Lienors, Creditors Trustees Or",All Unknown Heirs,,
50-2020-CA-014125-XXXX-MB,CA,2537.55,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Claimants,,
50-2020-CA-014125-XXXX-MB,CA,2537.55,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Anastasios,Orfanos,,
50-2020-CA-014125-XXXX-MB,CA,2537.55,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Bobby,Orfanos,,
50-2020-CA-014125-XXXX-MB,CA,2537.55,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Unknown Tenant,,
50-2020-CA-014125-XXXX-MB,CA,2537.55,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Allan,Zalesky,,
50-2021-CA-000956-XXXX-MB,CA,50000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Arantes Alimentos Ltda,,
50-2021-CA-000956-XXXX-MB,CA,50000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Aderbal,Arantes Junior,,
50-2021-CA-000956-XXXX-MB,CA,50000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Sertanejo Alimentos Sa,,
50-2021-CA-003506-XXXX-MB,CA,50000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Learning Sciences International Llc,,
50-2021-CA-003506-XXXX-MB,CA,50000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Linawati,Toth,,
50-2021-CA-003506-XXXX-MB,CA,50000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Michael,Toth,,
50-2022-CA-004127-XXXX-MB,CA,422082.05,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,G,Oneal,,
50-2022-CA-004127-XXXX-MB,CA,422082.05,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Palm Beach County A Political Subdivision Of The State Of Florida,,
50-2022-CA-004127-XXXX-MB,CA,422082.05,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Palm Beach County Florida,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,American-Palm Beach Garage Door Corporation,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Carmen,Betancourt,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Jose,Betancourt,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Juan,Betancourt,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Zulma,Calderon,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,City Of West Palm Beach,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Tai Tan,Dao,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Everglades Federal Credit Union,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Deborah,Fox,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Keeneth,Fox,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Kenneth,Fox,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Damarik,Gallego,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Wilmer,Gallego,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Anne,Gannon,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Le Cam,Ho,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Ibis Nursey Inc,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Mortgage Electronic Registration System Inc As Nominee For Quicken Loans Inc,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Mortgage Electronic Registration Systems Inc As Solely As Nominee For Quicken Loans,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Daisy,Olmo,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Palm Home Improvement Inc,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Michael,Pereira,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Trinh,Pham,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,James,Player,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Maria,Pulles,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Tarpon Iv Llc,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Loc,Tran,,
50-2022-CA-004627-XXXX-MB,CA,51820.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Wells Fargo Bank N A,,
50-2022-CA-005798-XXXX-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Carly,Goellner,,
50-2022-CA-005798-XXXX-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Alexander,Ivanov,,
50-2022-CA-005798-XXXX-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Sundance Promotions Inc,,
50-2022-CA-005798-XXXX-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Weston Dance Studio Inc,,
50-2022-CA-006639-XXXX-MB,CA,17759.28,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,,,
50-2022-CA-012294-XXXX-MB,CA,158343.75,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Secretary Of Housing And Urban Development,,
50-2022-CA-012294-XXXX-MB,CA,158343.75,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Unknown Occupant #1,,
50-2022-CA-012294-XXXX-MB,CA,158343.75,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Unknown Occupant #2,,
50-2022-CA-012294-XXXX-MB,CA,158343.75,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Unknown Personal Reprentative(S )Spouse Heirs Devises Grantees Assignees Leinors Creditors,,
50-2022-CA-012294-XXXX-MB,CA,158343.75,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Trustees And All Other Parties Claiming By Through Under Or Against The Estate Of Helen M,,
50-2022-CA-012294-XXXX-MB,CA,158343.75,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Briggs Deceased And All Unknown Persons Or Parties Having Or Claiming To Have Any Right,,
50-2022-CA-012294-XXXX-MB,CA,158343.75,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Title Or Interest In The Property Located At 8591 Windfall Drive Boynton Beach Florida,,
50-2022-CA-012870-XXXX-MB,CA,119265.05,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Charlie,Jones,,
50-2022-CA-012870-XXXX-MB,CA,119265.05,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Christopher,Jones,,
50-2022-CA-012870-XXXX-MB,CA,119265.05,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Jerry,Jones,,
50-2022-CA-012870-XXXX-MB,CA,119265.05,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Laquesta,Jones,,
50-2022-CA-012870-XXXX-MB,CA,119265.05,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Matthew,Jones,,
50-2022-CA-012870-XXXX-MB,CA,119265.05,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Tryshawna,Jones,,
50-2024-CA-000908-XXXA-MB,CA,150.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Terrance,Gibbs,,
50-2024-CA-003479-XXXA-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Karen,Daniele,,
50-2024-CA-003479-XXXA-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Eileen,Kelly,,
50-2024-CA-004756-XXXA-MB,CA,100.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Bay Cabinets And Millworks Inc,,
50-2024-CA-005034-XXXA-MB,CA,13908.50,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Clipton Corporation A Florida Corporation,,
50-2024-CA-005034-XXXA-MB,CA,13908.50,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,Naser,Mohammed,,
50-2024-CA-007390-XXXA-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,A360 Media Llc,,
50-2024-CA-007390-XXXA-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,City Of Palm Beach Gardens,,
50-2024-CA-007390-XXXA-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Daily Mail And General Trust Plc,,
50-2024-CA-007390-XXXA-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Dotdash Meredith Inc,,
50-2024-CA-007390-XXXA-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Ehm Productions Inc,,
50-2024-CA-007390-XXXA-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,Heavy Inc,,
50-2024-CA-007390-XXXA-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,John Doe A,,
50-2024-CA-007390-XXXA-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,John Doe B,,
50-2024-CA-007390-XXXA-MB,CA,1000.00,SOLD,clerk-registry,,,FL,,Palm Beach,,,,,,John Doe C,,
